number,model,rating,final_price, original_price, price_difference
104,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
105,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
106,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
107,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
108,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
109,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
110,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
111,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
112,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
113,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
114,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
115,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
116,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
117,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
118,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
119,micromax blue b5 16gb,0,  4650, 6999,2349.0
120,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
121,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
122,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
123,blackberry bold 5 9790 (8gb black),3.2,  3990, 10999,7009.0
124,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
125,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
126,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
127,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
128,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
129,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
130,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
131,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
132,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
133,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
134,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
135,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
136,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
137,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
138,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
139,micromax blue b5 16gb,0,  4650, 6999,2349.0
140,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
141,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
142,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
143,blackberry bold 5 9790 (8gb black),3.2,  3990, 10999,7009.0
144,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
145,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
146,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
147,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
148,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
149,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
150,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
151,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
152,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
153,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
154,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
155,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
156,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
157,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
158,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
159,micromax blue b5 16gb,0,  4650, 6999,2349.0
160,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
161,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
162,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
163,blackberry bold 5 9790 (8gb black),3.2,  3990, 10999,7009.0
164,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
165,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
166,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
167,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
168,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
169,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
170,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
171,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
172,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
173,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
174,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
175,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
176,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
177,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
178,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
179,micromax blue b5 16gb,0,  4650, 6999,2349.0
180,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
