number,model,rating,offer_price,original_price,price_difference
150,scratchgard tempered glass screen protector for samsung galaxy j4 plus (clear),0,299.00,799.00,500.0
151,scratchgard tempered glass screen protector for samsung galaxy j6 plus (clear),0,299.00,799.00,500.0
152,stuffcool tres 150 cm sync and charge cable with usb connectors (white),0,1294.00,1699.00,405.0
153,blackberry evolve (black 64 gb 4 gb ram),0,20990.00,29990.00,9000.0
154,lenovo spectra hx03f fitness band (black/blue),0,2299.00,2999.00,700.0
155,redmi mi band 3 (black),4,1999.00,2199.00,200.0
156,lenovo hx06 active fitness band (black),0,1299.00,1999.00,700.0
157,samsung galaxy note 9 (purple 128 gb 6 gb ram),4,67900.00,73600.00,5700.0
158,neopack 2.5d scratch resistant premium tempered glass for 24.638 cm ipad (transparent),0,1199.00,1990.00,791.0
159,samsung galaxy s9 plus (red 64 gb 6 gb ram),4,57900.00,70000.00,12100.0
160,safehouse bodyguard personal mobile security,0,599.00,599.00,0.0
161,sony wh-1000xm3 wireless noise cancelling headphones (black),4,29990.00,29990.00,0.0
162,samsung galaxy a7 (blue 128 gb 6 gb ram),4,20990.00,29990.00,9000.0
163,samsung galaxy a7 (black 64 gb 4 gb ram),4,16990.00,24990.00,8000.0
164,samsung galaxy a7 (gold 64 gb 4 gb ram),4,16990.00,24990.00,8000.0
165,vivo y81 (black 32 gb 3 gb ram),0,12490.00,14990.00,2500.0
166,sony wh-l600 digital surround wireless headphones,4,19990.00,19990.00,0.0
167,samsung galaxy a7 (blue 64 gb 4 gb ram),4,16990.00,24990.00,8000.0
168,sony mdr-xb450ap extra bass headphones,4,2490.00,2490.00,0.0
169,sony wh-ch400 bluetooth headphones,4,4990.00,4990.00,0.0
170,sony cp-e3 portable usb charger,0,1420.00,1420.00,0.0
171,sony wi-c400 in-ear bluetooth earphones with neckband (white),4,3790.00,3990.00,200.0
172,sony wi-c400 in-ear bluetooth earphones with neckband (blue),4,3790.00,3990.00,200.0
173,stuffcool drive it dual usb car charger 3.4 amp with 1.5 m micro usb cable (white),0,699.00,799.00,100.0
174,redmi redmi 6 (blue 64 gb 3 gb ram),4,8799.00,10499.00,1700.0
175,redmi redmi 6 (gold 64 gb 3 gb ram),4,8799.00,10499.00,1700.0
176,redmi redmi 6 (black 64 gb 3 gb ram),4,8799.00,10499.00,1700.0
177,redmi redmi 6 (black 32 gb 3 gb ram),4,8299.00,8999.00,700.0
178,redmi redmi 6 (rose gold 32 gb 3 gb ram),4,8299.00,8999.00,700.0
179,redmi redmi 6 (gold 32 gb 3 gb ram),4,8299.00,8999.00,700.0
180,redmi redmi 6 (rose gold 64 gb 3 gb ram),4,8799.00,10499.00,1700.0
0.00,0.0
178,apple watch series 4 (gps + cellular) 4.0 cm space black stainless steel case with space black milanese loop,4,76900.00,76900.00,0.0
179,apple watch series 4 (gps + cellular) 4.4 cm space gray aluminum case with black sport band,4,52900.00,52900.00,0.0
180,apple watch series 4 (gps + cellular) 4.0 cm space gray aluminum case with black sport loop,4,49900.00,49900.00,0.0
